0,1,2
2023-04-21 10:15:00,46.245,buy
2023-04-24 14:35:00,45.312,buy
2023-05-09 10:00:00,44.831,buy
2023-05-12 10:05:00,45.274,sell
2023-05-12 14:55:00,44.975,buy
2023-05-18 09:45:00,43.946,buy
2023-05-19 09:50:00,40.607,buy
2023-05-25 14:20:00,41.059,buy
2023-06-07 09:45:00,38.778,buy
2023-06-21 10:55:00,40.539,buy
2023-06-26 09:40:00,40.636,buy
2023-07-03 10:50:00,40.559,buy
2023-07-06 13:10:00,39.712,buy
2023-07-24 10:25:00,42.006,buy
2023-07-31 14:30:00,43.387,sell
2023-08-02 10:40:00,42.584,buy
2023-08-10 14:35:00,42.408,sell
2023-08-14 09:50:00,40.704,buy
2023-08-16 11:00:00,40.675,buy
2023-08-17 09:45:00,40.068,buy
2023-08-18 14:55:00,40.195,buy
2023-08-22 09:40:00,39.255,buy
2023-08-30 11:15:00,40.009,buy
2023-09-06 10:30:00,39.823,buy
2023-09-13 11:00:00,40.107,buy
2023-09-14 14:20:00,39.784,buy
2023-09-18 11:30:00,39.558,buy
2023-09-28 09:40:00,38.853,buy
2023-10-09 09:50:00,34.751,buy
2023-10-11 10:25:00,35.123,buy
2023-10-12 10:50:00,35.025,buy
2023-10-18 14:05:00,34.476,buy
2023-10-19 14:05:00,31.373,buy
2023-10-20 13:25:00,30.922,buy
2023-11-03 10:10:00,36.846,buy
2023-12-01 13:05:00,37.855,buy
2023-12-04 09:45:00,38.129,buy
2023-12-11 09:45:00,39.314,buy
2023-12-20 13:25:00,38.56,buy
2024-01-03 13:25:00,40.077,buy
2024-01-08 10:45:00,38.853,buy
2024-01-09 09:45:00,38.285,buy
2024-01-10 09:55:00,37.62,buy
2024-01-12 10:55:00,37.169,sell
2024-01-17 10:35:00,36.308,buy
2024-01-22 10:20:00,35.651,buy
2024-01-23 11:30:00,34.868,buy
2024-01-31 09:45:00,34.437,buy
2024-02-05 11:05:00,34.29,buy
2024-02-06 10:35:00,35.71,sell
2024-02-22 13:25:00,37.512,buy
2024-03-04 09:35:00,37.11,sell
2024-03-11 13:05:00,39.167,sell
2024-03-12 10:40:00,38.873,buy
2024-03-20 10:50:00,40.342,sell
2024-03-22 10:20:00,41.233,buy
2024-03-28 15:00:00,41.174,buy
2024-04-08 10:20:00,44.151,buy
2024-04-11 10:40:00,42.388,buy
2024-04-12 14:25:00,41.291,buy
2024-04-16 10:40:00,42.075,sell
2024-04-19 11:20:00,42.3,buy
2024-05-13 10:40:00,46.55,sell
2024-05-22 10:45:00,47.245,buy
2024-05-27 14:55:00,47.45,sell
2024-05-31 10:20:00,46.138,buy
2024-05-31 14:05:00,46.344,sell
2024-06-11 10:25:00,46.109,buy
2024-06-14 10:40:00,42.829,buy
2024-06-21 11:05:00,43.152,buy
2024-07-03 10:20:00,43.348,buy
2024-07-09 11:05:00,41.948,buy
2024-07-19 13:55:00,44.816,sell
2024-07-23 10:40:00,43.602,buy
2024-07-23 15:00:00,42.868,buy
2024-07-24 14:00:00,42.496,buy
2024-07-25 10:30:00,42.026,buy
2024-07-31 11:30:00,42.692,sell
2024-08-16 10:30:00,42.075,buy
2024-08-21 14:30:00,38.569,buy
2024-08-30 09:40:00,36.787,buy
2024-09-12 14:25:00,36.768,buy
2024-09-13 09:40:00,36.552,buy
2024-09-23 10:15:00,35.221,sell
2024-09-23 14:30:00,34.927,buy
2024-10-11 14:30:00,41.262,buy
2024-10-17 14:05:00,40.812,buy
2024-10-24 13:50:00,42.222,buy
2024-10-31 14:00:00,42.653,buy
2024-11-11 10:10:00,43.358,buy
2024-11-14 13:40:00,42.701,buy
2024-11-15 09:45:00,41.928,buy
2024-11-15 14:40:00,41.526,buy
2024-11-19 11:10:00,40.949,buy
2024-11-25 10:10:00,40.048,buy
2024-11-27 10:15:00,39.695,buy
2024-11-29 09:35:00,39.833,buy
2024-11-29 10:15:00,39.686,buy
2024-12-04 13:50:00,39.558,buy
2024-12-09 13:35:00,38.609,buy
2024-12-12 10:45:00,39.93,sell
2024-12-16 09:40:00,39.568,buy
2024-12-17 13:20:00,38.941,buy
2024-12-18 14:25:00,38.706,buy
2024-12-18 14:55:00,38.658,buy
2024-12-24 10:30:00,38.883,sell
2024-12-25 10:10:00,38.374,buy
2025-01-03 14:30:00,37.47,buy
2025-01-09 14:15:00,37.1,buy
